"Transcript Cluster ID","GenX_100uM vs. GenX_UT","Gene Symbol","0.1uMFold Change","10uMFold Change"
"TC0100012064.hg.1",-1.04,"MTCYBP14",-1.065337,2.465842
"TC0100012073.hg.1",2.32,"LDHAP2",1.368466,1.155197
"TC0100012317.hg.1",-1.32,"OR2W5",-1.820216,-2.084455
"TC0100012326.hg.1",1.23,"OR9H1P",2.140369,1.110008
"TC0100012365.hg.1",-1.01,"LOC105373278; RP11-438F14.3",-1.333678,3.241789
"TC0100012390.hg.1",1.42,"LOC729737; RP11-34P13.14",-1.4807,-2.115355
"TC0100012533.hg.1",-2.32,"RP3-395M20.3",-1.292147,-1.168332
"TC0100012908.hg.1",2.53,"Metazoa_SRP",-1.019364,-1.074958
"TC0100012922.hg.1",-2.02,"RNU6ATAC18P",1.083147,1.22794
"TC0100012935.hg.1",2.51,"PRAMEF10",1.099015,1
"TC0100012944.hg.1",-1.14,"RNU6-771P",1.264669,2.635031
"TC0100013047.hg.1",2.24,"RP5-875O13.1; U1; RNU1-6P",1.18552,-1.049426
"TC0100013062.hg.1",-2.6,"RP11-108M9.1",1.190535,-1.043709
"TC0100013123.hg.1",2.65,"UBR4",1.114101,-1.091423
"TC0100013169.hg.1",-2.28,"PLA2G2C",-1.342628,-1.58735
"TC0100013179.hg.1",-1.03,"RP4-749H3.2",1.29711,2.064726
"TC0100013193.hg.1",2.02,"HP1BP3",1.359842,-1.134857
"TC0100013323.hg.1",5.14,"STPG1",1.293527,1.293527
"TC0100013326.hg.1",-1.55,"RCAN3AS",1.270495,2.139747
"TC0100013339.hg.1",2.58,"RUNX3",-1.459131,-1.158012
"TC0100013534.hg.1",2.37,"LAPTM5",1.371115,2.210066
"TC0100013552.hg.1",2.29,"SNORD103C",1.026042,1.735041
"TC0100013687.hg.1",-2.08,"ZMYM4-AS1; RP4-765A10.2",1,-1.236061
"TC0100013692.hg.1",2.71,"KIAA0319L",1.166179,1.510776
"TC0100013700.hg.1",-2.84,"CLSPN",1.119279,1.080658
"TC0100013724.hg.1",2.27,"CSF3R",1,-1.279172
"TC0100013761.hg.1",1.27,"FHL3",-2.203764,-1.455778
"TC0100013814.hg.1",-2.53,"Y_RNA",1,1
"TC0100013846.hg.1",-1.17,"CITED4",-2.023862,1
